# radius         dens           temp        c12          ne22
195
1.9300E+08  6.3168E+05  5.0000E+07  5.0000E-01  0.0000E+00
1.9439E+08  5.0347E+05  5.0000E+07  5.0000E-01  0.0000E+00
1.9563E+08  4.0090E+05  5.0000E+07  5.0000E-01  0.0000E+00
1.9674E+08  3.1900E+05  5.0000E+07  5.0000E-01  0.0000E+00
1.9772E+08  2.5375E+05  5.0000E+07  5.0000E-01  0.0000E+00
1.9859E+08  2.0187E+05  5.0000E+07  5.0000E-01  0.0000E+00
1.9934E+08  1.6068E+05  5.0000E+07  5.0000E-01  0.0000E+00
2.0001E+08  1.2806E+05  5.0000E+07  5.0000E-01  0.0000E+00
2.0058E+08  1.0226E+05  5.0000E+07  5.0000E-01  0.0000E+00
2.0109E+08  8.1872E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0152E+08  6.5770E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0190E+08  5.3039E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0223E+08  4.2951E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0252E+08  3.4935E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0277E+08  2.8548E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0300E+08  2.3447E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0320E+08  1.9350E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0338E+08  1.6038E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0356E+08  1.3074E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0372E+08  1.0724E+04  5.0000E+07  5.0000E-01  0.0000E+00
2.0387E+08  8.8585E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0400E+08  7.3623E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0413E+08  6.1508E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0425E+08  5.1612E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0436E+08  4.3466E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0447E+08  3.6716E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0457E+08  3.1092E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0467E+08  2.6383E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0477E+08  2.2426E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0486E+08  1.9089E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0496E+08  1.6267E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0505E+08  1.3876E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0514E+08  1.1832E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0523E+08  1.0107E+03  5.0000E+07  5.0000E-01  0.0000E+00
2.0532E+08  8.6385E+02  5.0000E+07  5.0000E-01  0.0000E+00
